Struk_trans, Jumlah
0001,12440
0002,20000
0003,27000
0004,5500
0005,39000
0006,29000
0007,352500
0008,9000
0009,10000
0010,149800
0011,21000
0012,401320
0013,333216
0014,162500
0015,17500
0016,10500
0017,19512
0018,35000
0019,90000
0020,75700
0021,13000
0022,12500
0023,20000
0024,813756
0025,871008
0026,460636
0027,458800
0028,206400
0029,19500
0030,5500
0031,102500
0032,8002
0033,220000
0034,1774596
0035,210133
0036,261550
0037,37500
0038,27500
0039,2464656
0040,200000
0041,1293025
0042,40800
0043,186500
0044,18500
0045,3205126
0046,27500
0047,33500
0048,13500
0049,336950
0050,51968
0051,29900
0052,11500
0053,440000
0054,89000
0055,29900
0064,60000
0069,11700
0071,361250
0081,71500
0082,5500
0084,72000
0085,9000
0088,21504
0090,25000
0091,129000
0093,11550
0094,32000
0095,16400
0096,936000
0097,22500
0098,394500
0099,3000
0101,483560
0102,532616
0103,1019490
0104,65040
0105,83350
0106,13500
0109,12750
0110,44400
0111,245040
0112,20000
0113,27500
0116,10600
0118,28500
0119,520050
0120,116100
0121,19500
0123,706424
0124,173500
0125,14000
0126,61500
0127,13000
0128,5500
Struk_inv,Jumlah_di_inv
0001,12440
0002,20000
0003,27000
0004,5500
0005,39000
0006,29000
0007,352500
0008,9000
0009,10000
0010,149800
0011,21000
0012,401320
0013,333216
0014,162500
0015,17500
0016,10500
0017,19512
0018,35000
0019,90000
0020,75700
0022,12500
0023,20000
0024,813756
0025,1018008
0026,460636
0027,458800
0028,206400
0029,19500
0030,5500
0031,102500
0032,8002
0033,220000
0034,1774596
0036,261550
0037,37500
0038,27500
0039,2564160
0041,1293025
0042,40800
0043,186500
0044,18500
0045,3205126
0046,27500
0047,33500
0048,13500
0049,336950
0050,51968
0051,29900
0052,11500
0053,440000
0054,89000
0055,29900
0064,60000
0069,11700
0071,361250
0081,71500
0082,5500
0084,72000
0085,9000
0088,21504
0090,25000
0091,129000
0093,11550
0094,32000
0095,16400
0096,936000
0097,22500
0098,447000
0099,3000
0101,483560
0102,532616
0103,1019490
0104,65040
0105,83350
0106,13500
0109,12750
0110,44400
0111,245040
0112,20000
0113,27500
0116,10600
0118,28500
0119,520050
0120,116100
0121,19500
0123,706424
0124,173500
0125,14000
0126,61500
0127,13000
0128,5500
0129,194600
